Pinguinart,Insel,NestVoll_2Eier,Schnabellaenge,Schnabelhoehe,Flossenlaenge,Gewicht,Geschlecht,VerhaeltnisIsotope13N_12N,VerhaeltnisIsotope15N_14N
Gentoo,Biscoe,True,49.8,15.9,229.0,5950,maennlich,8.29226,-26.21019
Gentoo,Biscoe,True,43.5,15.2,213.0,4650,weiblich,8.21634,-26.11046
Gentoo,Biscoe,True,51.5,16.3,230.0,5500,maennlich,8.78557,-25.76147
Gentoo,Biscoe,True,46.2,14.1,217.0,4375,weiblich,8.30231,-25.96013
Gentoo,Biscoe,True,55.1,16.0,230.0,5850,maennlich,8.08354,-26.18161
Gentoo,Biscoe,True,44.5,15.7,217.0,4875,.,8.04111,-26.18444
Gentoo,Biscoe,True,48.8,16.2,222.0,6000,maennlich,8.33825,-25.88547
Gentoo,Biscoe,False,47.2,13.7,214.0,4925,weiblich,7.99184,-26.20538
Gentoo,Biscoe,True,46.8,14.3,215.0,4850,weiblich,8.41151,-26.13832
Gentoo,Biscoe,True,50.4,15.7,222.0,5750,maennlich,8.30166,-26.04117
Gentoo,Biscoe,True,45.2,14.8,212.0,5200,weiblich,8.24246,-26.11969
Gentoo,Biscoe,True,49.9,16.1,213.0,5400,maennlich,8.3639,-26.15531
